devicetimestamp,Serial,Count,FC,date
11/18/2020 13:42,33217172,126,1362,2020-11-18T13:42:58.000Z
11/18/2020 13:43,33217172,126,1362,2020-11-18T13:43:15.000Z
11/18/2020 13:45,33217172,126,1362,2020-11-18T13:45:46.000Z
11/18/2020 13:45,33217172,126,1362,2020-11-18T13:45:53.000Z
11/18/2020 13:46,33217172,126,1362,2020-11-18T13:46:29.000Z
11/18/2020 15:15,33217172,126,1362,2020-11-18T15:15:51.000Z
11/18/2020 15:16,33217172,126,1362,2020-11-18T15:16:03.000Z
11/18/2020 15:16,33217172,126,1362,2020-11-18T15:16:10.000Z
11/18/2020 15:16,33217172,126,1362,2020-11-18T15:16:24.000Z
11/18/2020 15:16,33217172,126,1362,2020-11-18T15:16:43.000Z
11/18/2020 15:18,33217172,126,1362,2020-11-18T15:18:55.000Z
11/18/2020 15:19,33217172,126,1362,2020-11-18T15:19:00.000Z
11/18/2020 15:19,33217172,126,1362,2020-11-18T15:19:04.000Z
11/18/2020 15:19,33217172,126,1362,2020-11-18T15:19:27.000Z
11/18/2020 15:19,33217172,126,1362,2020-11-18T15:19:50.000Z
11/18/2020 16:34,33217172,126,1362,2020-11-18T16:34:35.000Z
11/18/2020 16:38,33217172,126,1362,2020-11-18T16:38:18.000Z
11/18/2020 16:38,33217172,126,1362,2020-11-18T16:38:39.000Z
11/18/2020 18:57,33217172,126,1362,2020-11-18T18:57:56.000Z
11/18/2020 19:00,33217172,126,1362,2020-11-18T19:00:21.000Z
11/18/2020 19:00,33217172,126,1362,2020-11-18T19:00:27.000Z
11/18/2020 19:00,33217172,126,1362,2020-11-18T19:00:30.000Z
11/18/2020 19:00,33217172,126,1362,2020-11-18T19:00:34.000Z
11/18/2020 19:00,33217172,126,1362,2020-11-18T19:00:38.000Z
11/18/2020 19:02,33217172,126,1362,2020-11-18T19:02:03.000Z
11/18/2020 19:04,33217172,126,1362,2020-11-18T19:04:49.000Z
11/18/2020 19:19,33217172,126,1362,2020-11-18T19:19:29.000Z
11/18/2020 19:27,33217172,126,1362,2020-11-18T19:27:58.000Z
11/18/2020 19:29,33217172,126,1362,2020-11-18T19:29:12.000Z
11/18/2020 19:29,33217172,126,1362,2020-11-18T19:29:20.000Z
11/18/2020 19:30,33217172,126,1362,2020-11-18T19:30:26.000Z
11/18/2020 19:30,33217172,126,1362,2020-11-18T19:30:32.000Z
11/18/2020 19:30,33217172,126,1362,2020-11-18T19:30:52.000Z
11/18/2020 19:30,33217172,126,1362,2020-11-18T19:30:55.000Z
11/18/2020 19:31,33217172,126,1362,2020-11-18T19:31:02.000Z
11/18/2020 19:31,33217172,126,1362,2020-11-18T19:31:17.000Z
11/18/2020 19:31,33217172,126,1362,2020-11-18T19:31:18.000Z
11/18/2020 19:31,33217172,126,1362,2020-11-18T19:31:21.000Z
11/18/2020 19:31,33217172,126,1362,2020-11-18T19:31:24.000Z
11/18/2020 19:31,33217172,126,1362,2020-11-18T19:31:33.000Z
11/18/2020 19:31,33217172,126,1362,2020-11-18T19:31:35.000Z
11/18/2020 19:31,33217172,126,1362,2020-11-18T19:31:40.000Z
11/18/2020 19:31,33217172,126,1362,2020-11-18T19:31:58.000Z
11/18/2020 19:32,33217172,126,1362,2020-11-18T19:32:07.000Z
11/18/2020 19:32,33217172,126,1362,2020-11-18T19:32:09.000Z
11/18/2020 19:32,33217172,126,1362,2020-11-18T19:32:29.000Z
11/18/2020 19:32,33217172,126,1362,2020-11-18T19:32:35.000Z
11/18/2020 19:32,33217172,126,1362,2020-11-18T19:32:41.000Z
11/18/2020 19:32,33217172,126,1362,2020-11-18T19:32:44.000Z
11/18/2020 19:32,33217172,126,1362,2020-11-18T19:32:48.000Z
11/18/2020 19:32,33217172,126,1362,2020-11-18T19:32:51.000Z
11/18/2020 19:32,33217172,126,1362,2020-11-18T19:32:52.000Z
11/18/2020 19:33,33217172,126,1362,2020-11-18T19:33:09.000Z
11/18/2020 19:33,33217172,126,1362,2020-11-18T19:33:12.000Z
11/18/2020 19:33,33217172,126,1362,2020-11-18T19:33:20.000Z
11/18/2020 19:33,33217172,126,1362,2020-11-18T19:33:23.000Z
11/18/2020 19:33,33217172,126,1362,2020-11-18T19:33:24.000Z
11/18/2020 19:33,33217172,126,1362,2020-11-18T19:33:25.000Z
11/18/2020 19:33,33217172,126,1362,2020-11-18T19:33:29.000Z
11/18/2020 19:33,33217172,126,1362,2020-11-18T19:33:50.000Z
11/18/2020 19:33,33217172,126,1362,2020-11-18T19:33:52.000Z
11/18/2020 19:33,33217172,126,1362,2020-11-18T19:33:54.000Z
11/18/2020 19:34,33217172,126,1362,2020-11-18T19:34:03.000Z
11/18/2020 19:34,33217172,126,1362,2020-11-18T19:34:07.000Z
11/18/2020 19:34,33217172,126,1362,2020-11-18T19:34:12.000Z
11/18/2020 19:38,33217172,126,1362,2020-11-18T19:38:49.000Z
11/18/2020 19:39,33217172,126,1362,2020-11-18T19:39:02.000Z
11/18/2020 19:39,33217172,126,1362,2020-11-18T19:39:07.000Z
11/18/2020 19:39,33217172,126,1362,2020-11-18T19:39:19.000Z
11/18/2020 19:39,33217172,126,1362,2020-11-18T19:39:22.000Z
